code	province_name
GD	Guangdong
CQ	Chongqing
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
GZ	Guizhou
GD	Guangdong
GX	Guangxi
GD	Guangdong
JX	Jiangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
QH	Qinghai
NX	Ningxia
FJ	Fujian
GD	Guangdong
JL	Jilin
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
JX	Jiangxi
JX	Jiangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
HN	Hunan
GD	Guangdong
GD	Guangdong
HI	Hainan
CQ	Chongqing
CQ	Chongqing
GD	Guangdong
GD	Guangdong
JX	Jiangxi
NX	Ningxia
GD	Guangdong
GD	Guangdong
GD	Guangdong
ZJ	Zhejiang
LN	Liaoning
GD	Guangdong
GD	Guangdong
GD	Guangdong
GX	Guangxi
GD	Guangdong
HI	Hainan
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HN	Hunan
HN	Hunan
GD	Guangdong
GD	Guangdong
GD	Guangdong
CQ	Chongqing
GD	Guangdong
GD	Guangdong
HB	Hubei
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
XJ	Xinjiang
JX	Jiangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GX	Guangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HN	Hunan
JX	Jiangxi
GD	Guangdong
GD	Guangdong
GX	Guangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GX	Guangxi
AH	Anhui
GD	Guangdong
GX	Guangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HI	Hainan
HI	Hainan
GD	Guangdong
GD	Guangdong
GD	Guangdong
HI	Hainan
GD	Guangdong
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
GS	Gansu
GD	Guangdong
XZ	Tibet
GD	Guangdong
GD	Guangdong
HI	Hainan
GD	Guangdong
GD	Guangdong
GD	Guangdong
GX	Guangxi
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
FJ	Fujian
GD	Guangdong
HN	Hunan
GX	Guangxi
GD	Guangdong
JX	Jiangxi
HN	Hunan
GD	Guangdong
GD	Guangdong
HN	Hunan
GS	Gansu
GD	Guangdong
GD	Guangdong
HI	Hainan
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HE	Hebei
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GX	Guangxi
GD	Guangdong
BJ	Beijing
GD	Guangdong
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
HN	Hunan
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
TJ	Tianjin
GD	Guangdong
GD	Guangdong
HN	Hunan
GX	Guangxi
GD	Guangdong
HI	Hainan
TJ	Tianjin
GD	Guangdong
GX	Guangxi
SH	Shanghai
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HN	Hunan
GD	Guangdong
GD	Guangdong
GD	Guangdong
SD	Shandong
GD	Guangdong
GD	Guangdong
HN	Hunan
GZ	Guizhou
JX	Jiangxi
MO	Macau
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
JX	Jiangxi
SD	Shandong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HI	Hainan
GD	Guangdong
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
HN	Hunan
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
JX	Jiangxi
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
JX	Jiangxi
NM	Inner Mongolia
GD	Guangdong
HL	Heilongjiang
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
FJ	Fujian
FJ	Fujian
GD	Guangdong
GD	Guangdong
CQ	Chongqing
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
JX	Jiangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GZ	Guizhou
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HI	Hainan
GD	Guangdong
HI	Hainan
HN	Hunan
HI	Hainan
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HI	Hainan
HI	Hainan
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
HN	Hunan
GX	Guangxi
SN	Shaanxi
GD	Guangdong
GD	Guangdong
JX	Jiangxi
GD	Guangdong
HI	Hainan
NX	Ningxia
GD	Guangdong
GD	Guangdong
JX	Jiangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
SX	Shanxi
GD	Guangdong
MO	Macau
HN	Hunan
GD	Guangdong
GD	Guangdong
JX	Jiangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
HI	Hainan
GD	Guangdong
JX	Jiangxi
NM	Inner Mongolia
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
TJ	Tianjin
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
MO	Macau
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
ZJ	Zhejiang
GD	Guangdong
GD	Guangdong
GD	Guangdong
ZJ	Zhejiang
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
JX	Jiangxi
GX	Guangxi
GD	Guangdong
GD	Guangdong
GX	Guangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GX	Guangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
HA	Henan
GD	Guangdong
GD	Guangdong
JX	Jiangxi
JX	Jiangxi
GD	Guangdong
GD	Guangdong
JS	Jiangsu
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GX	Guangxi
GD	Guangdong
GD	Guangdong
HI	Hainan
GD	Guangdong
HN	Hunan
GD	Guangdong
JX	Jiangxi
GD	Guangdong
HI	Hainan
GD	Guangdong
GD	Guangdong
FJ	Fujian
FJ	Fujian
GD	Guangdong
GX	Guangxi
GD	Guangdong
HN	Hunan
GD	Guangdong
FJ	Fujian
GD	Guangdong
GD	Guangdong
GD	Guangdong
HK	Hong Kong
GD	Guangdong
GD	Guangdong
GD	Guangdong
XJ	Xinjiang
GD	Guangdong
GD	Guangdong
GD	Guangdong
SC	Sichuan
GD	Guangdong
GX	Guangxi
GD	Guangdong
ZJ	Zhejiang
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GX	Guangxi
HN	Hunan
HK	Hong Kong
GD	Guangdong
GD	Guangdong
HN	Hunan
GX	Guangxi
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
JS	Jiangsu
GD	Guangdong
GD	Guangdong
GD	Guangdong
HI	Hainan
GD	Guangdong
HI	Hainan
GD	Guangdong
FJ	Fujian
XZ	Tibet
HE	Hebei
GD	Guangdong
GD	Guangdong
HN	Hunan
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
GD	Guangdong
ZJ	Zhejiang
GD	Guangdong
GD	Guangdong
